# N	Actual_Error	Estimated_Error	O_1_sqrt_N
100	0.0584073	0.16	0.2
200	0.00159265	0.116198	0.141421
400	0.0784073	0.0792401	0.1
800	0.0615927	0.0595147	0.0707107
1600	0.0140927	0.0412973	0.05
3200	0.0478427	0.0296	0.0353553
6400	0.0109677	0.0206219	0.025
12800	0.0255948	0.0143551	0.0176777
25600	0.0109073	0.0102159	0.0125
51200	0.000420779	0.00725879	0.00883883
102400	0.0117489	0.00515715	0.00625
204800	0.00147547	0.00363101	0.00441942
409600	0.00199133	0.00256375	0.003125
819200	0.00202722	0.00181593	0.00220971
